Time,Temperature,GRAWX,GRAWY,GRAWZ,GACCELX,GACCELY,GACCELZ
10502,-18.23672,0.2137405,-0.8549618,-0.3053435,0.05028003,-9.963826,-0.3184402
10627.25,-18.17633,1.40458,-0.7633588,-0.5038168,0.07781433,-9.986571,-0.3782974
10829.63,-18.23672,1.236641,-0.6564885,-0.4274809,0.1053486,-9.985374,-0.3411859
11018.13,-18.2971,0.8091603,-0.8396947,-0.4274809,0.09816577,-10.02608,-0.4034374
11205.13,-18.11594,1.480916,-0.7938932,-0.3664122,0.1113344,-9.937489,-0.3028773
11387.63,-18.17633,1.480916,-0.6870229,-0.2137405,0.1113344,-10.03087,-0.3926631
11514.88,-18.23672,1.236641,-0.5648855,-0.4427481,0.001197144,-9.963826,-0.3890716
11716.25,-18.2971,1.496183,-0.7328244,-0.5954198,0.09936292,-10.00692,-0.3663259
11903.75,-18.23672,0.6717557,-0.7938932,-0.3664122,0.08499719,-10.05361,-0.3483688
12006.13,-18.17633,1.053435,-0.7328244,-0.4274809,0.08020861,-10.02727,-0.3112573
12215.88,-18.11594,0.6564885,-0.7022901,-0.5038168,0.02633716,-10.05601,-0.3399888
12310.25,-18.17633,0.8854962,-0.8244275,-0.3969466,0.08140576,-9.911152,-0.3220316
12512.63,-18.17633,1.419847,-0.8549618,-0.4427481,0.1041515,-9.978191,-0.3196373
12637.88,-18.23672,1.053435,-0.6717557,-0.5038168,0.07661719,-10.00213,-0.3950574
12856.13,-18.53865,1.221374,-0.8854962,-0.2137405,0.09098291,-9.961432,-0.3447773
13028.75,-18.23672,1.526718,-0.8396947,-0.3969466,0.02394287,-10.00812,-0.3184402
13122.63,-18.23672,1.526718,-0.8091603,-0.610687,0.03950574,-10.01171,-0.3627345
13340.88,-18.35749,1.236641,-0.778626,-0.7328244,0.05147717,-9.94946,-0.3854802
13436.25,-18.11594,1.312977,-0.8854962,-0.4885496,0.06943433,-9.973403,-0.325623
13638.13,-18.11594,0.8854962,-0.6870229,-0.519084,0.09816577,-10.02249,-0.3914659
13763.38,-18.23672,1.465649,-0.9770992,-0.3053435,0.1233058,-10.01051,-0.2944973
13966.75,-18.17633,1.175573,-0.8549618,-0.7175573,0.1077429,-10.05002,-0.308863
14155.75,-18.11594,1.145038,-0.5496183,-0.351145,-0.02154858,-9.959037,-0.3387916
14251.13,-18.11594,1.267176,-0.7938932,-0.4580153,-0.001197144,-10.04284,-0.4166059
14465.88,-18.11594,1.007634,-0.7175573,-0.3053435,0.06225146,-10.06079,-0.3028773
14653.38,-18.17633,1.206107,-0.6717557,-0.519084,0.01676001,-9.9327,-0.3447773
14748.75,-18.11594,0.6870229,-0.7175573,-0.5038168,0.06704004,-9.894391,-0.4429431
14950.13,-18.11594,0.8091603,-0.8244275,-0.3664122,0.07781433,-9.978191,-0.4010431
15076.38,-18.17633,1.465649,-0.7022901,-0.4274809,0.09936292,-10.00692,-0.4118174
15280.25,-18.17633,1.129771,-0.7633588,-0.4732825,0.1173201,-10.02249,-0.4225917
15466.75,-18.05556,1.206107,-0.7480916,-0.6259542,0.1556287,-10.01051,-0.3639316
15563.13,-18.17633,0.9312977,-0.778626,-0.4885496,0.09098291,-9.889603,-0.3794945
15780.38,-18.05556,1.328244,-0.9007633,-0.519084,0.0550686,-9.979388,-0.3543545
15966.38,-18.11594,1.221374,-0.7328244,-0.778626,0.1436572,-9.96622,-0.3399888
16062.25,-18.17633,1.343511,-0.7022901,-0.351145,0.0658429,-10.01051,-0.3316088
16263.63,-18.05556,1.29771,-0.8091603,-0.3969466,0.1017572,-9.980586,-0.3567488
16388.88,-18.11594,1.251908,-0.9770992,-0.3969466,0.08499719,-9.954248,-0.3459745
16591.25,-18.23672,1.29771,-0.6412214,-0.4885496,0.08858863,-9.947065,-0.3794945
